ticket_id,created_at,resolved_at,status,priority,category,subcategory,channel,site,assigned_group,resolution_minutes,sla_target_minutes,sla_met,root_cause,customer_satisfaction
TKT-00030,2026-04-19 11:02:00,2026-04-20 23:07:00,Closed,P4 - Low,CCTV,NVR connectivity,Walk-up,Wangara,Security Support,2165.0,2880,True,Network outage,3.0
TKT-00031,2026-06-26 09:34:00,2026-06-26 12:23:00,Closed,P3 - Medium,Account,MFA issue,Self-service Portal,Osborne Park,Desktop Support,169.0,1440,True,Software bug,3.0
TKT-00032,2026-01-11 12:13:00,,Open,P3 - Medium,Network,LAN outage,Email,Malaga,Field Support,,1440,,Unknown,
TKT-00033,2026-03-02 09:51:00,2026-03-02 15:28:00,Closed,P3 - Medium,Hardware,Keyboard/mouse,Email,Wangara,Network Support,337.0,1440,True,Unknown,5.0
TKT-00034,2026-03-05 11:10:00,2026-03-06 01:39:00,Resolved,P4 - Low,Security,Suspicious email,Monitoring Alert,Perth CBD,Security Support,869.0,2880,True,Configuration issue,5.0
TKT-00035,2026-02-28 10:01:00,2026-03-01 09:42:00,Closed,P4 - Low,Network,VPN issue,Walk-up,Malaga,Service Desk,1421.0,2880,True,Unknown,5.0
TKT-00036,2026-05-18 12:01:00,2026-05-19 07:06:00,Closed,P3 - Medium,Hardware,Docking station issue,Phone,Osborne Park,Network Support,1145.0,1440,True,User error,3.0
TKT-00037,2026-03-22 13:38:00,2026-03-22 17:38:00,Resolved,P3 - Medium,Network,Wi-Fi issue,Monitoring Alert,Osborne Park,Desktop Support,240.0,1440,True,Hardware failure,5.0
TKT-00038,2026-05-18 17:46:00,2026-05-19 00:15:00,Closed,P3 - Medium,Network,LAN outage,Walk-up,Canning Vale,Service Desk,389.0,1440,True,Access permission,5.0
TKT-00039,2026-02-01 18:57:00,2026-02-02 03:21:00,Closed,P3 - Medium,CCTV,Video playback issue,Monitoring Alert,Malaga,Security Support,504.0,1440,True,Access permission,4.0
TKT-00040,2026-04-08 17:47:00,2026-04-09 00:15:00,Closed,P2 - High,Hardware,Peripheral fault,Self-service Portal,Malaga,Security Support,388.0,480,True,Network outage,5.0
TKT-00041,2026-05-29 16:41:00,2026-05-30 01:32:00,Closed,P3 - Medium,Printer,Network printer offline,Monitoring Alert,Remote User,Desktop Support,531.0,1440,True,Network outage,4.0
TKT-00042,2026-02-13 17:05:00,2026-02-14 18:55:00,Resolved,P4 - Low,Software,Installation request,Email,Wangara,Network Support,1550.0,2880,True,Configuration issue,4.0
TKT-00043,2026-05-02 16:54:00,2026-05-02 21:48:00,Closed,P2 - High,Printer,Network printer offline,Monitoring Alert,Remote User,Field Support,294.0,480,True,Configuration issue,5.0
TKT-00044,2026-02-07 17:44:00,2026-02-07 19:01:00,Closed,P3 - Medium,Account,Password reset,Monitoring Alert,Wangara,Desktop Support,77.0,1440,True,Unknown,3.0
TKT-00045,2026-03-05 08:29:00,2026-03-05 14:58:00,Closed,P3 - Medium,Security,Unauthorized access attempt,Self-service Portal,Osborne Park,Field Support,389.0,1440,True,Hardware failure,3.0
TKT-00046,2026-05-10 13:53:00,2026-05-11 15:42:00,Closed,P4 - Low,Security,Unauthorized access attempt,Phone,Remote User,Security Support,1549.0,2880,True,Software bug,5.0
TKT-00047,2026-05-14 14:40:00,2026-05-15 01:21:00,Closed,P3 - Medium,Hardware,Keyboard/mouse,Email,Remote User,Network Support,641.0,1440,True,Configuration issue,4.0
TKT-00048,2026-02-05 09:14:00,2026-02-05 17:05:00,Closed,P3 - Medium,Hardware,Monitor issue,Phone,Perth CBD,Security Support,471.0,1440,True,Software bug,4.0
TKT-00049,2026-04-18 13:57:00,2026-04-18 22:20:00,Closed,P3 - Medium,Hardware,Workstation fault,Self-service Portal,Canning Vale,Security Support,503.0,1440,True,User error,5.0
TKT-00050,2026-04-18 15:47:00,2026-04-19 00:28:00,Closed,P3 - Medium,Security,Malware alert,Monitoring Alert,Wangara,Network Support,521.0,1440,True,Software bug,5.0
TKT-00051,2026-04-14 18:10:00,2026-04-14 21:52:00,Closed,P3 - Medium,Software,Software update,Self-service Portal,Osborne Park,Service Desk,222.0,1440,True,Software bug,5.0
TKT-00052,2026-04-20 09:55:00,2026-04-20 11:22:00,Closed,P3 - Medium,Account,Password reset,Walk-up,Canning Vale,Network Support,87.0,1440,True,Configuration issue,4.0
TKT-00053,2026-03-13 13:16:00,,Open,P3 - Medium,Software,Application error,Monitoring Alert,Perth CBD,Field Support,,1440,,User error,
TKT-00054,2026-06-16 07:48:00,2026-06-16 16:18:00,Closed,P3 - Medium,Security,Malware alert,Phone,Perth CBD,Field Support,510.0,1440,True,Configuration issue,3.0
TKT-00055,2026-02-25 14:44:00,2026-02-25 23:42:00,Closed,P3 - Medium,Network,Slow connection,Phone,Osborne Park,Field Support,538.0,1440,True,Access permission,4.0
TKT-00056,2026-03-21 08:37:00,2026-03-21 12:57:00,Closed,P3 - Medium,Account,MFA issue,Self-service Portal,Remote User,Security Support,260.0,1440,True,Software bug,3.0
TKT-00057,2026-06-10 10:06:00,2026-06-10 12:50:00,Closed,P2 - High,Security,Firewall alert,Self-service Portal,Perth CBD,Field Support,164.0,480,True,Unknown,5.0
TKT-00058,2026-01-18 15:41:00,2026-01-18 22:04:00,Closed,P3 - Medium,Network,VPN issue,Monitoring Alert,Perth CBD,Security Support,383.0,1440,True,Hardware failure,4.0
TKT-00059,2026-04-22 09:46:00,2026-04-22 13:38:00,Resolved,P4 - Low,Account,MFA issue,Self-service Portal,Osborne Park,Security Support,232.0,2880,True,Software bug,5.0
TKT-00060,2026-03-04 08:17:00,2026-03-04 17:24:00,Closed,P3 - Medium,Software,Software update,Monitoring Alert,Osborne Park,Field Support,547.0,1440,True,Access permission,5.0
TKT-00061,2026-02-16 14:13:00,2026-02-16 15:21:00,Resolved,P1 - Critical,Hardware,Docking station issue,Walk-up,Malaga,Field Support,68.0,240,True,Access permission,4.0
TKT-00062,2026-02-18 08:15:00,2026-02-18 17:06:00,Closed,P3 - Medium,CCTV,IP address conflict,Self-service Portal,Wangara,Security Support,531.0,1440,True,Access permission,5.0
TKT-00063,2026-03-17 10:25:00,2026-03-17 12:22:00,Closed,P3 - Medium,Account,MFA issue,Self-service Portal,Malaga,Security Support,117.0,1440,True,Network outage,5.0
TKT-00064,2026-03-26 12:44:00,2026-03-26 22:50:00,Resolved,P3 - Medium,Software,Installation request,Walk-up,Wangara,Service Desk,606.0,1440,True,Access permission,4.0
TKT-00065,2026-06-26 09:12:00,2026-06-26 16:46:00,Closed,P2 - High,Network,VPN issue,Walk-up,Remote User,Field Support,454.0,480,True,Unknown,4.0
TKT-00066,2026-02-19 11:14:00,2026-02-19 18:18:00,Closed,P3 - Medium,Software,Installation request,Email,Remote User,Field Support,424.0,1440,True,Configuration issue,4.0
TKT-00067,2026-06-28 09:40:00,2026-06-28 11:27:00,Closed,P4 - Low,Hardware,Keyboard/mouse,Email,Perth CBD,Field Support,107.0,2880,True,Hardware failure,5.0
TKT-00068,2026-01-14 11:55:00,2026-01-14 19:15:00,Closed,P3 - Medium,Software,Application error,Monitoring Alert,Canning Vale,Service Desk,440.0,1440,True,Network outage,4.0
TKT-00069,2026-05-25 11:05:00,2026-05-25 12:49:00,Closed,P2 - High,Account,Password reset,Self-service Portal,Canning Vale,Field Support,104.0,480,True,Network outage,5.0
TKT-00070,2026-04-26 14:19:00,2026-04-27 06:44:00,Closed,P2 - High,Printer,Toner/maintenance,Self-service Portal,Osborne Park,Service Desk,985.0,480,False,Network outage,4.0
TKT-00071,2026-06-10 10:16:00,2026-06-10 14:33:00,Resolved,P2 - High,Security,Malware alert,Phone,Wangara,Field Support,257.0,480,True,User error,5.0
TKT-00072,2026-05-01 11:02:00,2026-05-01 21:28:00,Resolved,P3 - Medium,Network,Slow connection,Monitoring Alert,Perth CBD,Desktop Support,626.0,1440,True,Hardware failure,4.0
TKT-00073,2026-02-20 13:07:00,2026-02-20 23:58:00,Closed,P3 - Medium,Printer,Driver issue,Walk-up,Wangara,Service Desk,651.0,1440,True,User error,5.0
TKT-00074,2026-05-26 11:28:00,2026-05-27 01:39:00,Resolved,P3 - Medium,Network,Slow connection,Monitoring Alert,Malaga,Field Support,851.0,1440,True,Network outage,3.0
TKT-00075,2026-04-21 18:20:00,2026-04-22 08:33:00,Closed,P2 - High,Software,Application error,Phone,Remote User,Field Support,853.0,480,False,Network outage,4.0
TKT-00076,2026-03-10 16:02:00,2026-03-10 18:27:00,Resolved,P4 - Low,Security,Malware alert,Monitoring Alert,Osborne Park,Security Support,145.0,2880,True,Hardware failure,5.0
TKT-00077,2026-05-06 08:30:00,2026-05-06 11:56:00,Closed,P3 - Medium,Network,Slow connection,Walk-up,Remote User,Service Desk,206.0,1440,True,Unknown,4.0
TKT-00078,2026-06-19 13:52:00,2026-06-19 19:03:00,Closed,P3 - Medium,Network,Wi-Fi issue,Monitoring Alert,Perth CBD,Network Support,311.0,1440,True,Hardware failure,5.0
TKT-00079,2026-05-12 07:42:00,2026-05-12 10:43:00,Closed,P4 - Low,Hardware,Keyboard/mouse,Monitoring Alert,Perth CBD,Desktop Support,181.0,2880,True,Network outage,5.0
TKT-00080,2026-01-14 10:17:00,2026-01-14 20:49:00,Closed,P3 - Medium,Hardware,Docking station issue,Monitoring Alert,Remote User,Security Support,632.0,1440,True,User error,5.0
TKT-00081,2026-02-10 11:35:00,2026-02-10 15:16:00,Resolved,P3 - Medium,Network,VPN issue,Email,Wangara,Service Desk,221.0,1440,True,Software bug,3.0
TKT-00082,2026-03-16 15:45:00,2026-03-17 10:03:00,Closed,P3 - Medium,Security,Unauthorized access attempt,Monitoring Alert,Wangara,Security Support,1098.0,1440,True,Network outage,4.0
TKT-00083,2026-02-04 08:17:00,2026-02-04 11:27:00,Closed,P2 - High,Network,VPN issue,Walk-up,Osborne Park,Network Support,190.0,480,True,Unknown,5.0
TKT-00084,2026-05-29 17:31:00,2026-05-29 23:56:00,Resolved,P3 - Medium,Network,VPN issue,Self-service Portal,Canning Vale,Network Support,385.0,1440,True,Hardware failure,5.0
TKT-00085,2026-03-24 10:44:00,2026-03-25 00:01:00,Closed,P3 - Medium,Software,Performance issue,Phone,Canning Vale,Service Desk,797.0,1440,True,Hardware failure,4.0
TKT-00086,2026-04-09 17:50:00,2026-04-09 18:32:00,Resolved,P3 - Medium,Account,Access request,Monitoring Alert,Perth CBD,Desktop Support,42.0,1440,True,Network outage,5.0
TKT-00087,2026-04-23 08:33:00,2026-04-23 09:53:00,Closed,P3 - Medium,Security,Suspicious email,Phone,Canning Vale,Desktop Support,80.0,1440,True,User error,5.0
TKT-00088,2026-06-27 13:41:00,2026-06-28 01:45:00,Closed,P4 - Low,Software,Installation request,Self-service Portal,Canning Vale,Network Support,724.0,2880,True,Access permission,3.0
TKT-00089,2026-01-10 16:04:00,,Open,P3 - Medium,Account,Access request,Walk-up,Wangara,Service Desk,,1440,,Software bug,
TKT-00090,2026-01-26 14:10:00,2026-01-27 01:44:00,Resolved,P3 - Medium,Security,Suspicious email,Email,Malaga,Service Desk,694.0,1440,True,Hardware failure,5.0
TKT-00091,2026-04-16 16:43:00,2026-04-17 07:19:00,Closed,P3 - Medium,Hardware,Monitor issue,Phone,Perth CBD,Field Support,876.0,1440,True,Unknown,5.0
TKT-00092,2026-05-30 09:14:00,2026-05-30 21:42:00,Closed,P3 - Medium,Hardware,Docking station issue,Monitoring Alert,Malaga,Service Desk,748.0,1440,True,Unknown,4.0
TKT-00093,2026-01-19 14:22:00,2026-01-19 18:34:00,Closed,P3 - Medium,Software,Installation request,Monitoring Alert,Remote User,Network Support,252.0,1440,True,Software bug,5.0
TKT-00094,2026-05-04 08:15:00,2026-05-04 12:42:00,Closed,P2 - High,Printer,Toner/maintenance,Self-service Portal,Malaga,Network Support,267.0,480,True,User error,4.0
TKT-00095,2026-05-25 17:49:00,2026-05-26 02:06:00,Closed,P3 - Medium,Security,Suspicious email,Self-service Portal,Remote User,Security Support,497.0,1440,True,Unknown,5.0
TKT-00096,2026-06-05 12:14:00,2026-06-05 19:00:00,Resolved,P3 - Medium,CCTV,Video playback issue,Phone,Remote User,Service Desk,406.0,1440,True,Access permission,5.0
TKT-00097,2026-05-29 12:46:00,2026-05-29 19:59:00,Closed,P3 - Medium,Account,MFA issue,Walk-up,Remote User,Security Support,433.0,1440,True,Configuration issue,3.0
TKT-00098,2026-04-04 15:32:00,,Open,P4 - Low,Network,Slow connection,Phone,Malaga,Security Support,,2880,,Unknown,
TKT-00099,2026-04-30 08:09:00,2026-04-30 14:01:00,Resolved,P4 - Low,Hardware,Monitor issue,Monitoring Alert,Osborne Park,Network Support,352.0,2880,True,User error,5.0
TKT-00100,2026-04-27 12:43:00,2026-04-27 16:38:00,Closed,P1 - Critical,Printer,Toner/maintenance,Self-service Portal,Canning Vale,Network Support,235.0,240,True,User error,5.0
TKT-00101,2026-05-24 12:58:00,2026-05-24 17:17:00,Closed,P3 - Medium,Account,Password reset,Monitoring Alert,Remote User,Network Support,259.0,1440,True,Access permission,5.0
TKT-00102,2026-03-19 14:07:00,,Pending Vendor,P2 - High,Hardware,Workstation fault,Phone,Osborne Park,Desktop Support,,480,,Software bug,
TKT-00103,2026-05-19 13:37:00,2026-05-19 19:46:00,Resolved,P3 - Medium,Software,Software update,Monitoring Alert,Remote User,Service Desk,369.0,1440,True,Unknown,5.0
TKT-00104,2026-01-09 18:23:00,,Pending Vendor,P3 - Medium,Software,Software update,Monitoring Alert,Canning Vale,Desktop Support,,1440,,Unknown,
TKT-00105,2026-06-15 12:03:00,2026-06-16 01:13:00,Closed,P4 - Low,Hardware,Monitor issue,Email,Canning Vale,Service Desk,790.0,2880,True,Access permission,4.0
TKT-00106,2026-01-13 12:15:00,,Pending User,P3 - Medium,Network,LAN outage,Self-service Portal,Wangara,Service Desk,,1440,,Unknown,
TKT-00107,2026-03-01 12:49:00,2026-03-01 16:36:00,Closed,P2 - High,Printer,Print queue issue,Walk-up,Wangara,Desktop Support,227.0,480,True,Network outage,3.0
TKT-00108,2026-01-07 09:00:00,2026-01-08 04:30:00,Closed,P2 - High,Hardware,Peripheral fault,Walk-up,Perth CBD,Desktop Support,1170.0,480,False,Hardware failure,3.0
TKT-00109,2026-01-17 14:28:00,2026-01-18 03:31:00,Closed,P3 - Medium,Network,Switch port issue,Self-service Portal,Perth CBD,Security Support,783.0,1440,True,Network outage,5.0
TKT-00110,2026-06-18 15:19:00,2026-06-18 19:15:00,Resolved,P3 - Medium,Network,Wi-Fi issue,Email,Canning Vale,Security Support,236.0,1440,True,Software bug,4.0
TKT-00111,2026-01-19 08:20:00,,Open,P3 - Medium,Account,Access request,Email,Wangara,Network Support,,1440,,Network outage,
TKT-00112,2026-06-02 15:18:00,2026-06-02 18:27:00,Closed,P3 - Medium,Account,Account lockout,Email,Remote User,Service Desk,189.0,1440,True,Unknown,4.0
TKT-00113,2026-02-25 13:28:00,2026-02-25 16:04:00,Closed,P4 - Low,Account,Account lockout,Walk-up,Canning Vale,Security Support,156.0,2880,True,Software bug,5.0
TKT-00114,2026-03-07 12:09:00,2026-03-07 15:50:00,Closed,P3 - Medium,Account,Account lockout,Email,Perth CBD,Service Desk,221.0,1440,True,User error,5.0
TKT-00115,2026-02-03 15:03:00,2026-02-04 01:38:00,Closed,P3 - Medium,Software,Installation request,Email,Canning Vale,Network Support,635.0,1440,True,Unknown,5.0
TKT-00116,2026-01-14 11:38:00,2026-01-14 13:43:00,Resolved,P3 - Medium,Account,Password reset,Self-service Portal,Osborne Park,Desktop Support,125.0,1440,True,Configuration issue,4.0
TKT-00117,2026-05-23 12:07:00,2026-05-23 12:54:00,Closed,P2 - High,Account,Access request,Monitoring Alert,Osborne Park,Field Support,47.0,480,True,Network outage,5.0
TKT-00118,2026-06-18 18:17:00,2026-06-18 18:47:00,Closed,P3 - Medium,Account,MFA issue,Walk-up,Malaga,Network Support,30.0,1440,True,User error,3.0
TKT-00119,2026-01-18 09:47:00,2026-01-18 17:07:00,Closed,P2 - High,Network,Wi-Fi issue,Email,Remote User,Field Support,440.0,480,True,Configuration issue,5.0
TKT-00120,2026-03-21 18:20:00,2026-03-21 21:27:00,Closed,P3 - Medium,Hardware,Peripheral fault,Self-service Portal,Perth CBD,Service Desk,187.0,1440,True,Configuration issue,5.0
TKT-00121,2026-03-11 14:42:00,2026-03-11 18:31:00,Resolved,P3 - Medium,Network,Switch port issue,Monitoring Alert,Canning Vale,Network Support,229.0,1440,True,Configuration issue,4.0
TKT-00122,2026-03-14 17:43:00,2026-03-14 21:55:00,Closed,P2 - High,Printer,Toner/maintenance,Email,Wangara,Security Support,252.0,480,True,Network outage,5.0
TKT-00123,2026-02-05 11:18:00,,Pending Vendor,P2 - High,Network,Slow connection,Email,Perth CBD,Security Support,,480,,Access permission,
TKT-00124,2026-02-28 15:35:00,2026-02-28 17:33:00,Closed,P2 - High,Software,Installation request,Email,Canning Vale,Service Desk,118.0,480,True,Software bug,5.0
TKT-00125,2026-05-28 13:36:00,2026-05-29 14:02:00,Resolved,P4 - Low,Network,VPN issue,Walk-up,Perth CBD,Security Support,1466.0,2880,True,User error,4.0
TKT-00126,2026-04-28 18:58:00,,Pending Vendor,P2 - High,Security,Firewall alert,Email,Canning Vale,Service Desk,,480,,Configuration issue,
TKT-00127,2026-03-21 18:21:00,2026-03-22 05:15:00,Closed,P3 - Medium,Software,Software update,Email,Osborne Park,Service Desk,654.0,1440,True,Network outage,4.0
TKT-00128,2026-06-15 09:15:00,2026-06-16 00:30:00,Closed,P4 - Low,Software,Installation request,Phone,Wangara,Field Support,915.0,2880,True,Configuration issue,3.0
TKT-00129,2026-06-10 14:29:00,2026-06-10 21:45:00,Closed,P3 - Medium,Printer,Network printer offline,Self-service Portal,Remote User,Field Support,436.0,1440,True,Hardware failure,5.0
TKT-00130,2026-01-18 14:28:00,2026-01-19 14:39:00,Closed,P3 - Medium,CCTV,Camera offline,Walk-up,Osborne Park,Service Desk,1451.0,1440,False,Hardware failure,4.0
TKT-00131,2026-03-15 08:41:00,2026-03-15 14:03:00,Closed,P1 - Critical,Software,Performance issue,Monitoring Alert,Osborne Park,Field Support,322.0,240,False,Unknown,4.0
TKT-00132,2026-05-27 17:12:00,,Open,P1 - Critical,Account,MFA issue,Self-service Portal,Canning Vale,Field Support,,240,,Configuration issue,
TKT-00133,2026-03-29 18:05:00,2026-03-29 23:36:00,Resolved,P3 - Medium,Security,Malware alert,Email,Wangara,Security Support,331.0,1440,True,Software bug,5.0
TKT-00134,2026-03-14 13:26:00,2026-03-15 20:01:00,Closed,P3 - Medium,Software,Application error,Walk-up,Perth CBD,Network Support,1835.0,1440,False,User error,3.0
TKT-00135,2026-06-18 16:55:00,2026-06-18 17:57:00,Closed,P3 - Medium,Software,Application error,Self-service Portal,Remote User,Desktop Support,62.0,1440,True,Hardware failure,4.0
TKT-00136,2026-02-03 16:45:00,2026-02-03 23:31:00,Closed,P3 - Medium,Hardware,Docking station issue,Self-service Portal,Canning Vale,Network Support,406.0,1440,True,Unknown,5.0
TKT-00137,2026-06-25 15:05:00,,Pending Vendor,P3 - Medium,Network,VPN issue,Self-service Portal,Malaga,Service Desk,,1440,,Hardware failure,
TKT-00138,2026-05-05 10:14:00,2026-05-05 17:49:00,Closed,P4 - Low,Hardware,Monitor issue,Email,Malaga,Service Desk,455.0,2880,True,Network outage,5.0
TKT-00139,2026-01-10 17:21:00,,Open,P4 - Low,Printer,Driver issue,Self-service Portal,Canning Vale,Desktop Support,,2880,,Configuration issue,
TKT-00140,2026-02-12 18:28:00,2026-02-13 03:05:00,Closed,P3 - Medium,Network,Slow connection,Phone,Canning Vale,Field Support,517.0,1440,True,Hardware failure,3.0
TKT-00141,2026-03-03 11:51:00,2026-03-03 15:52:00,Closed,P4 - Low,Printer,Driver issue,Walk-up,Remote User,Field Support,241.0,2880,True,Software bug,5.0
TKT-00142,2026-05-16 13:10:00,2026-05-16 13:58:00,Closed,P3 - Medium,Software,Software update,Walk-up,Perth CBD,Security Support,48.0,1440,True,Unknown,5.0
TKT-00143,2026-05-13 08:18:00,2026-05-14 00:25:00,Resolved,P4 - Low,Hardware,Monitor issue,Walk-up,Canning Vale,Field Support,967.0,2880,True,Configuration issue,3.0
TKT-00144,2026-04-26 12:59:00,,Open,P2 - High,Printer,Print queue issue,Monitoring Alert,Perth CBD,Security Support,,480,,Network outage,
TKT-00145,2026-02-27 07:20:00,2026-02-27 16:28:00,Closed,P3 - Medium,Hardware,Docking station issue,Phone,Wangara,Service Desk,548.0,1440,True,Hardware failure,5.0
TKT-00146,2026-06-30 14:28:00,2026-07-01 08:31:00,Resolved,P3 - Medium,CCTV,Camera offline,Email,Malaga,Desktop Support,1083.0,1440,True,Unknown,5.0
TKT-00147,2026-04-19 08:49:00,2026-04-20 06:11:00,Closed,P4 - Low,Network,Slow connection,Email,Perth CBD,Desktop Support,1282.0,2880,True,Software bug,4.0
TKT-00148,2026-05-08 16:34:00,2026-05-08 18:04:00,Closed,P3 - Medium,Account,Access request,Phone,Malaga,Security Support,90.0,1440,True,User error,3.0
TKT-00149,2026-06-20 17:05:00,2026-06-20 18:21:00,Closed,P3 - Medium,Account,MFA issue,Email,Osborne Park,Field Support,76.0,1440,True,Network outage,5.0
TKT-00150,2026-05-01 07:40:00,2026-05-01 09:12:00,Closed,P3 - Medium,Printer,Toner/maintenance,Walk-up,Remote User,Service Desk,92.0,1440,True,Hardware failure,4.0
TKT-00151,2026-06-10 08:49:00,2026-06-10 18:16:00,Resolved,P3 - Medium,Printer,Toner/maintenance,Phone,Perth CBD,Network Support,567.0,1440,True,Network outage,5.0
TKT-00152,2026-06-25 14:44:00,2026-06-27 03:49:00,Resolved,P3 - Medium,Hardware,Monitor issue,Email,Remote User,Security Support,2225.0,1440,False,User error,3.0
TKT-00153,2026-01-11 12:59:00,2026-01-11 22:07:00,Closed,P1 - Critical,Hardware,Peripheral fault,Monitoring Alert,Malaga,Service Desk,548.0,240,False,Unknown,3.0
TKT-00154,2026-01-13 17:21:00,2026-01-13 22:32:00,Resolved,P3 - Medium,Account,MFA issue,Monitoring Alert,Canning Vale,Security Support,311.0,1440,True,Software bug,4.0
TKT-00155,2026-04-05 15:17:00,2026-04-05 19:22:00,Resolved,P2 - High,Hardware,Keyboard/mouse,Email,Canning Vale,Field Support,245.0,480,True,Unknown,5.0
